Time (s),Element,Time (m:s),T1,T2,T3,T4,T5,T6,T7,T8
0,Trial number,0:00.000,1,2,3,4,5,6,7,8
2.136,Part 1 Synchronisation,0:02.136,,,,,,,,
20,taps,0:20.00,,,,,,,,
23.45,Part 2 Listening task 1,0:23.450,,,,,,,,
32,Silence 1,0:32.00,,,,,,,,
62,Music 1,1:02.00,Danish quartet ex 1,Hildur Guðnadóttir/Saman/11 Torrek,Coltrane/My Favorite things/03 Summertime,Olafur Arnalds/13 Say My Name (feat. Arnór Dan),Schola Magdalena/O Gracious Light/15 Allelulia,Ben Heppner/My Secret Heart/Roses of Picardy,The Dufay Collective/Miri it is/01 Miri it is while sumer ilast,Cowboy Bebop OST 3 - BLUE/14 Wo Qui Non Coin
92.5,Part 3: Moving tasks,1:32.500,,,,,,,,
101,Verbalise,1.41.00,Pets,Breakfast,music,socks,play instrument,weather,books,Horses
112,Move,1:52.0,Clapping,lean forward and back,lean forward and back,Remove phone,Text,Text,Stand stretch,Stand stretch
121,move to music,2:01.00,Standing,Standing,Seated,Standing,Seated,Standing,Seated,Standing
126,Music 2,2:06.0,DESPITE THE WEATHER - KAYTRANADA,Daft Punk - Crescendolls,Shlomo/Bda Vibes/02 Places,Ariane Moffat/02 Briser un coeur,The Dufay Collective/Miri it is/02 Dance_ Miri it is,Sleater-Kinney/No Cities To Love/05 A New Wave,Cowboy Bebop OST 3 - BLUE/14 Wo Qui Non Coin,Shlomo/Bda Vibes/02 Places
156,Part 4 Listening task 2,2:36.0,,,,,,,,
168,Music 3,2:48.0,Le lion imberbe - Pierre Lapointe,Coltrane/My Favorite things/03 Summertime,Olafur Arnalds/13 Say My Name (feat. Arnór Dan),Schola Magdalena/O Gracious Light/15 Allelulia,Ben Heppner/My Secret Heart/Roses of Picardy,The Dufay Collective/Miri it is/01 Miri it is while sumer ilast,Daft Punk - Crescendolls,Danish quartet ex 2
198,Phone realignment,3:18.0,,,,,,,,
206,Music 4,3:26.0,Danish quartet ex 1,Hildur Guðnadóttir/Saman/11 Torrek,Coltrane/My Favorite things/03 Summertime,Olafur Arnalds/13 Say My Name (feat. Arnór Dan),Schola Magdalena/O Gracious Light/15 Allelulia,Ben Heppner/My Secret Heart/Roses of Picardy,The Dufay Collective/Miri it is/01 Miri it is while sumer ilast,Cowboy Bebop OST 3 - BLUE/14 Wo Qui Non Coin
236,Silence 2,3.56.0,,,,,,,,
266,Thanks,4:26.0,,,,,,,,
270,Trial end,4:30.0,,,,,,,,
